date,demand
2017-12-10,77848
2017-12-11,84360
2017-12-12,89108
2017-12-13,91630
2017-12-14,93097
2017-12-15,93876
2017-12-16,83860
2017-12-17,80075
2017-12-18,93421
2017-12-19,93129
2017-12-20,93156
2017-12-21,93870
2017-12-22,92833
2017-12-23,82537
2017-12-24,79714
2017-12-25,84716
2017-12-26,87322
2017-12-27,90742
2017-12-28,87757
2017-12-29,79897
2017-12-30,73059
2017-12-31,74438
2018-01-01,66839
2018-01-02,67168
2018-01-03,71952
2018-01-04,80242
2018-01-05,90618
2018-01-06,85337
2018-01-07,78182
2018-01-08,85578
2018-01-09,87928
2018-01-10,90161
2018-01-11,93313
2018-01-12,97694
2018-01-13,90842
2018-01-14,83776
2018-01-15,95621
2018-01-16,92198
2018-01-17,92990
2018-01-18,88021
2018-01-19,88883
2018-01-20,83561
2018-01-21,78224
2018-01-22,101258
2018-01-23,97870
2018-01-24,99323
2018-01-25,104453
2018-01-26,104906
2018-01-27,95818
2018-01-28,92001
2018-01-29,97941
2018-01-30,99910
2018-01-31,98086
2018-02-01,101949
2018-02-02,106343
2018-02-03,90872
2018-02-04,83338
2018-02-05,96604
2018-02-06,98445
2018-02-07,98042
2018-02-08,98507
2018-02-09,97190
2018-02-10,87053
2018-02-11,76013
2018-02-12,85614
2018-02-13,95338
2018-02-14,93347
2018-02-15,87234
2018-02-16,90469
2018-02-17,83896
2018-02-18,83262
2018-02-19,91725
2018-02-20,88644
2018-02-21,93249
2018-02-22,99183
2018-02-23,96111
2018-02-24,84173
2018-02-25,81574
2018-02-26,90252
2018-02-27,88553
2018-02-28,86584
2018-03-01,81495
2018-03-02,82128
2018-03-03,76433
2018-03-04,67607
2018-03-05,77011
2018-03-06,80787
2018-03-07,88244
2018-03-08,92774
2018-03-09,84783
2018-03-10,78097
2018-03-11,72003
2018-03-12,80443
2018-03-13,79505
2018-03-14,75637
2018-03-15,74223
2018-03-16,77015
2018-03-17,74251
2018-03-18,68785
2018-03-19,76564
2018-03-20,83239
2018-03-21,89395
2018-03-22,84565
2018-03-23,78284
2018-03-24,71249
2018-03-25,65336
2018-03-26,72027
2018-03-27,72143
2018-03-28,70931
2018-03-29,70547
2018-03-30,69597
2018-03-31,65527
2018-04-01,62002
2018-04-02,69919
2018-04-03,72180
2018-04-04,71951
2018-04-05,72127
2018-04-06,72228
2018-04-07,66711
2018-04-08,63458
2018-04-09,72171
2018-04-10,72948
2018-04-11,73116
2018-04-12,72230
2018-04-13,71427
2018-04-14,67375
2018-04-15,63321
2018-04-16,70643
2018-04-17,74919
2018-04-18,74676
2018-04-19,72419
2018-04-20,71765
2018-04-21,66066
2018-04-22,62860
2018-04-23,70314
2018-04-24,72390
2018-04-25,73226
2018-04-26,70571
2018-04-27,69468
2018-04-28,63234
2018-04-29,59196
2018-04-30,60992
2018-05-01,66988
2018-05-02,66011
2018-05-03,60987
2018-05-04,57096
2018-05-05,56853
2018-05-06,57876
